Group,Module Code,Module Name,Question ID,Review Mode,Impact Level,Question Text,Helper Text,Response Options,Condition
Before Arrival,B1,Pre-visit information,B1-F-1,Pulse Check,high,Do you have accessibility information available for customers before they visit?,"Examples: a dedicated accessibility page, accessibility guide, social story or visual narrative, information included across relevant pages, or clear pre-visit guidance.","Yes | Partially | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-F-2A,Pulse Check,medium,What's currently stopping you from sharing accessibility information?,"Select all that apply","Not sure what to include | Don't have time or resources | Concerned about accuracy | Don't think it's needed | Other",B1-F-1 = No OR Not sure
Before Arrival,B1,Pre-visit information,B1-F-3A,Pulse Check,medium,Where would it be easiest to start sharing accessibility information?,Select one or more options,"Website | Social media | Booking confirmation emails | Printed materials | Google Business Profile | Other",B1-F-1 = No OR Not sure
Before Arrival,B1,Pre-visit information,B1-F-2B,Pulse Check,medium,What types of accessibility information do you currently share?,"Select all that apply. This might include physical access details, sensory environment, what to expect during a visit, transport and parking, or information about equipment and resources available such as sensory kits, sensory maps, or wheelchair hire.","Physical access (entrances, parking, toilets) | Sensory environment (noise, lighting, crowds) | What to expect during a visit | Transport and parking | Equipment and resources available (sensory kits, sensory maps, wheelchair hire) | Contact information for accessibility questions | None of these",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-F-3B,Pulse Check,medium,How confident are you that this information is accurate and up to date?,,"Very confident | Fairly confident | Not very confident | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-F-4,Deep Dive,low,Would you like us to review a link to your accessibility information to help identify gaps and opportunities?,This review is indicative only and based on publicly available information. It does not verify accuracy or confirm compliance.,"Yes | No",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-F-4-link,Deep Dive,low,Paste the link where your accessibility information is shared,This review is indicative only and based on publicly available information. It does not verify accuracy or confirm compliance.,Free text (URL),B1-F-4 = Yes
Before Arrival,B1,Pre-visit information,B1-F-5,Pulse Check,high,Can customers contact you in a variety of ways to ask accessibility questions before visiting?,"Examples include phone, email, social media, contact forms, or booking enquiries.","Yes | Limited options | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-F-6,Pulse Check,high,Do staff know how to confidently respond to accessibility enquiries?,,"Yes | Sometimes | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-F-7,Pulse Check,medium,Do you offer familiarisation visits or orientation sessions?,"Familiarisation visits allow people to visit your venue before their main visit to become comfortable with the environment, layout, staff, and what to expect. This is especially helpful for people with autism, anxiety, cognitive disabilities, or sensory sensitivities.

Familiarisation might include:
• Pre-visit tours at quieter times
• Virtual walkthroughs or video tours
• Social stories or visual guides
• Meeting key staff beforehand
• Exploring the space without pressure to participate

This can significantly reduce anxiety and improve the overall experience.","Yes | On request | Considering it | No",
Before Arrival,B1,Pre-visit information,B1-F-8,Pulse Check,medium,Do you provide information about accessible transport options to reach your venue?,"Transport information helps people plan their journey. This might include:

• Nearest accessible public transport stops
• Accessible parking locations
• Drop-off points and pick-up arrangements
• Walking distances from transport
• Taxi or ride-share drop-off information
• Accessible route maps

This information is particularly helpful when included in pre-visit communications or on your website.","Yes | Partially | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-D-1a,Deep Dive,high,Where is your accessibility information published?,"Select all that apply. Understanding where your information lives helps identify whether customers can find it easily, and whether it's consistent across platforms.

Note: Accessibility information buried in FAQs or general information pages can be difficult for customers to find. A dedicated, clearly labelled accessibility page is easier to locate and signals that accessibility matters to your organisation.","Dedicated accessibility page | Scattered across multiple pages | Within FAQs or general information | PDFs or downloadable documents | Third-party platforms (Google, booking sites) | Social media only | Other",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-1b,Deep Dive,high,How easy is it to find your accessibility information from your homepage?,"This measures findability, which is one of the most common real-world failures in accessibility information. Even well-written content has limited value if customers cannot locate it.","One click | Two to three clicks | Hard to locate or requires searching | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-1c,Deep Dive,medium,Is this information written primarily for customers or for compliance?,"Customer-focused information helps people make decisions and plan visits. Compliance-focused information often uses technical language and may not answer the questions customers actually have.

The most useful accessibility information does both: it meets obligations while genuinely helping people understand what to expect.","Primarily for customers | Primarily for compliance | A mix of both | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-2a,Deep Dive,high,Does your physical access information include specific details that help customers plan?,"Select all that apply. Decision-enabling information goes beyond general statements to include specifics that help people assess whether your venue works for them.

This might include:
• Measurements (door widths, gradients)
• Photos of entrances and toilets
• Step-free route descriptions
• Notes about limitations or constraints

General statements like 'we are accessible' are less useful than specific, honest details.","Measurements (door widths, gradients) | Photos of entrances and toilets | Step-free route descriptions | Notes about limitations or constraints | None of these",B1-F-2B includes Physical access
Before Arrival,B1,Pre-visit information,B1-D-2b,Deep Dive,high,Does your 'what to expect' information describe the sensory and social environment?,"Select all that apply. This type of information helps people prepare for their visit and reduces anxiety.

Useful details might include:
• Queuing and waiting expectations
• Noise levels at different times
• Lighting conditions and changes
• Crowd density at peak and quiet times
• Staff interactions and what to expect at key touchpoints

This is especially valuable for autistic visitors, people with anxiety, or those with sensory sensitivities.","Queuing and waiting expectations | Noise levels at different times | Lighting conditions and changes | Crowd density at peak and quiet times | Staff interactions and what to expect | None of these",B1-F-2B includes What to expect during a visit
Before Arrival,B1,Pre-visit information,B1-D-3a,Deep Dive,medium,When was your accessibility information last reviewed or updated?,"Regular review helps ensure information stays accurate as your venue, services, or staff change. Outdated information can lead to poor experiences and erode trust.","Within the last 6 months | 6 to 12 months ago | More than a year ago | Not sure",B1-F-3B != Very confident
Before Arrival,B1,Pre-visit information,B1-D-3b,Deep Dive,medium,Has your accessibility information been checked against any of these sources?,"Select all that apply. Verification helps ensure accuracy and builds confidence that the information reflects reality.

If you haven't verified your information recently, this is an area to prioritise.","A site inspection or walkthrough | Staff knowledge review | Customer feedback | An access consultant audit | Not checked",B1-F-3B != Very confident
Before Arrival,B1,Pre-visit information,B1-D-5a,Deep Dive,high,How are accessibility enquiries handled when they come in?,"This explores whether accessibility questions receive consistent, confident responses.

Consistent handling helps customers feel confident their needs will be understood.","Routed to trained staff who can answer confidently | Handled by whoever is available at the time | Sometimes missed, delayed, or answered inconsistently | Not sure",B1-F-5 = Yes OR Limited options
Before Arrival,B1,Pre-visit information,B1-D-5b,Deep Dive,medium,Do customers have a way to ask accessibility questions without calling?,"Phone calls can be a barrier for some customers, including Deaf people, those with anxiety, or people who prefer written communication.

Alternative options might include email, contact forms, live chat, social media messaging, or text/SMS. The key is ensuring these channels are monitored and responded to reliably.","Yes - multiple options | Yes - one alternative | No - phone only | Not sure",B1-F-5 = Yes OR Limited options
Before Arrival,B1,Pre-visit information,B1-D-5c,Deep Dive,medium,Do you proactively invite accessibility questions?,"Proactive invitations signal that accessibility matters to your organisation and that questions are welcome.

This might include:
• A prompt on your website encouraging accessibility questions
• Text in booking confirmations inviting people to share requirements
• Staff trained to ask if there's anything they can help with

This removes the burden from customers to initiate the conversation.","Yes | Sometimes | No | Not sure",B1-F-5 = Yes OR Limited options
Before Arrival,B1,Pre-visit information,B1-D-5d,Deep Dive,high,Have you tested whether your contact channels are accessible and usable for customers with disability?,"This includes things like contact forms, enquiry emails, booking requests, or website layouts. Testing might involve trying these yourself, getting feedback from customers, or reviewing them with accessibility in mind.

Having channels available is different from having channels that work well for everyone.","Yes - we've tested them and are confident they work well | We've tested some channels, but not all | We haven't formally tested them, but we haven't had issues raised | Not sure - we've never checked this | No - we haven't tested this yet",
Before Arrival,B1,Pre-visit information,B1-D-5e,Deep Dive,medium,Which contact channels have been tested for accessibility?,"Select all that apply. This helps identify gaps and prioritise areas for review.

If testing hasn't happened, Access Compass can provide an indicative review of publicly accessible channels.","Website contact forms | Booking or enquiry forms | Email responses and attachments | Mobile experience | Confirmation emails or follow-up communications | None / not sure",B1-D-5d != Yes - we've tested them and are confident they work well
Before Arrival,B1,Pre-visit information,B1-D-5f,Deep Dive,medium,Would you like Access Compass to review your contact channels as part of this assessment?,"This review is indicative only and based on publicly available information. It helps identify potential barriers but does not replace a full technical audit.

We can assess things like whether forms have visible labels, whether required fields are clearly indicated, and whether obvious contrast or navigation issues exist.","Yes - please review this for me | No - note this as an area to review later",B1-D-5d = Not sure OR No - we haven't tested this yet
Before Arrival,B1,Pre-visit information,B1-D-6a,Deep Dive,medium,How is guidance for responding to accessibility enquiries managed?,"This explores whether staff have clear, consistent information to draw on when responding to questions.

Documented guidance helps ensure consistent, confident responses.","Written down and accessible to staff | Shared informally between team members | Based on individual knowledge and experience | No guidance exists | Not sure",B1-F-6 = Yes OR Sometimes
Before Arrival,B1,Pre-visit information,B1-D-6b,Deep Dive,medium,What happens when the first staff member doesn't know the answer to an accessibility question?,"This explores escalation and follow-through. Good practice includes:

• A clear person or resource to consult
• Permission and encouragement to say 'I'll find out'
• A process for following up with the customer

Customers understand when staff need to check. What matters is that follow-through happens.","Clear escalation path and follow-up process | Staff usually find someone who knows | Often left unresolved | Not sure",B1-F-6 = Yes OR Sometimes
Before Arrival,B1,Pre-visit information,B1-D-6c,Deep Dive,low,Are staff encouraged to say 'I don't know, but I'll find out' when needed?,"This reflects your service culture. Staff who feel safe acknowledging uncertainty are more likely to provide accurate information than those who feel pressured to answer immediately.

Encouraging honest responses builds trust with customers and improves information quality over time.","Yes - this is encouraged | Sometimes | No - staff feel they should always have an answer | Not sure",B1-F-6 = Yes OR Sometimes
Before Arrival,B1,Pre-visit information,B1-D-7a,Deep Dive,medium,What's the main barrier to offering familiarisation visits?,"Select all that apply. Understanding barriers helps identify practical solutions.

Even simple options like quiet arrival times or virtual tours can make a significant difference.","Time or scheduling constraints | Staffing availability | Lack of awareness or established process | Unclear demand or customer interest | Liability or safety concerns | Other",B1-F-7 = Considering it OR No
Before Arrival,B1,Pre-visit information,B1-D-7b,Deep Dive,medium,How are familiarisation visits communicated to customers?,"If you offer familiarisation visits, consider how customers would know this is available.

Is it mentioned on your website, in booking communications, or when customers enquire about accessibility? Is the process documented anywhere for staff reference?

Visibility matters. An excellent offer has limited value if customers don't know it exists.","Mentioned on website | Included in booking communications | Offered when customers enquire | Staff know to offer when relevant | Not actively communicated | Other",B1-F-7 = Yes OR On request
Before Arrival,B1,Pre-visit information,B1-D-8a,Deep Dive,medium,Is your transport information specific to accessibility needs?,"Generic directions are less useful than accessibility-specific guidance.

Transport information that stops at 'nearest bus stop' may not address real planning needs.","Yes - specifically addresses accessibility | Partially - some accessibility detail | No - generic directions only | Not sure",B1-F-8 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-8b,Deep Dive,high,Does your transport information describe the 'last 50 metres' of the journey?,"The final approach to your venue is often where visits fail. This might include:

• Distance from drop-off or parking to entrance
• Surface conditions (gravel, slopes, uneven ground)
• Whether the path is under cover
• Any level changes or obstacles
• Where to go if the main entrance isn't accessible

This detail helps customers complete their journey confidently.","Yes - includes detailed approach information | Partially - some detail | No - not covered | Not sure",B1-F-8 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-9,Deep Dive,high,Is your accessibility information consistent across all platforms?,"Inconsistent information creates confusion and erodes trust.

Check whether information matches across:
• Your website
• Booking platforms
• Google Business Profile and third-party listings
• Printed materials and signage

Discrepancies often occur when information is updated in one place but not others.","Yes - consistent everywhere | Mostly consistent | No - known inconsistencies | Not sure - haven't checked",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-10,Deep Dive,high,Do you clearly state limitations or barriers that still exist?,"Negative disclosure builds trust and helps customers make informed decisions.

Honest statements like 'Our upper floor is not accessible by lift' or 'Background noise can be high during peak times' are more useful than silence.

Customers would rather know about limitations in advance than discover them on arrival.","Yes - we clearly state known limitations | Partially - some limitations mentioned | No - we only highlight positives | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-11,Deep Dive,medium,Do you invite feedback about the accuracy of your accessibility information?,"Customers often notice things that internal reviews miss.

This creates a feedback loop that keeps information accurate over time.","Yes - we actively invite feedback | We accept feedback but don't actively invite it | No | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-12,Deep Dive,medium,Who is responsible for maintaining your accessibility information?,"Clear ownership helps ensure information stays current.

When no one is responsible, information often becomes outdated without anyone noticing.","A named role or individual | Shared across multiple people | No clear owner | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B4.1,Website basics,B4.1-1-1,Pulse Check,high,Can all website content be accessed using only a keyboard (no mouse required)?,"Try navigating your site using only Tab, Enter, and arrow keys.","Yes | Partially | No | Not sure",
Before Arrival,B4.1,Website basics,B4.1-1-2,Pulse Check,high,Do all images on your website have alt text or image descriptions?,"Alt text and image descriptions both help people understand images, but they are used in slightly different ways.

Alt text is a short description added directly to an image. It is read automatically by screen readers and should briefly explain the purpose of the image in context.

Image descriptions are longer explanations provided in nearby text or linked content. They are useful for complex images such as charts, diagrams, maps, or detailed visuals that need more explanation than a short alt text allows.","Yes | Some images | No | Not sure",
Before Arrival,B4.1,Website basics,B4.1-1-3,Pulse Check,high,Is your website text easy to read with good contrast between text and background?,"Good colour contrast makes text easier to read. Text should clearly stand out from the background, for example dark text on a light background, or light text on a dark background. Text that blends into the background, uses very light colours, or sits on busy images can be hard to read.

If you need to strain your eyes, zoom in, or adjust your screen to read the text comfortably, or if you cannot easily scan the page, the contrast may not be strong enough.","Yes | Mostly | No | Not sure",
Before Arrival,B4.1,Website basics,B4.1-1-4,Pulse Check,medium,Can users resize text up to 400% without losing content or functionality?,"Text resizing allows users to increase the size of text without breaking the page. When text is increased, content should remain visible and usable. Text should not overlap, disappear, be cut off, or require sideways scrolling to read. Buttons, menus, and forms should still work as expected.

You can usually test this by zooming your browser or increasing text size and checking whether the page still works smoothly.","Yes | Partially | No | Not sure",
Before Arrival,B4.1,Website basics,B4.1-1-5,Pulse Check,medium,Does your website work well on mobile devices?,"A website that works well on mobile is easy to use on a phone or tablet, not just on a desktop computer.

On mobile devices, text should be readable without zooming, buttons and links should be easy to tap, and content should fit the screen without needing to scroll sideways. Menus, forms, and key features should still work smoothly.

You can check this by opening your website on a phone and trying to complete common tasks, such as finding information, using the menu, or submitting a form.","Yes | Partially | No | Not sure",
Before Arrival,B4.1,Website basics,B4.1-MA-1,Deep Dive,high,Enter your website URL for accessibility analysis,"We can perform an automated accessibility audit of your website using industry-standard tools (WAVE integration coming soon). This checks for WCAG 2.1 compliance including contrast, structure, labels, and more.",Free text (URL),
Before Arrival,B4.2,Booking systems and forms,B4.2-1-1,Pulse Check,high,Can customers share their accessibility requirements when booking online?,"This refers to whether customers have a clear way to tell you about their accessibility needs during the online booking process.

This might include a dedicated accessibility question, a free-text field, a tick box, or a notes section where customers can share requirements such as mobility access, hearing or vision support, sensory considerations, or assistance needs.

It should be easy to find, optional to complete, and reviewed by staff so requests can be acknowledged and responded to.","Yes | Partially | No | We don't have online booking | Not sure",
Before Arrival,B4.2,Booking systems and forms,B4.2-1-2,Pulse Check,medium,Are error messages on forms clear and helpful?,Good error messages explain what went wrong and how to fix it.,"Yes | Partially | No | Not sure",
Before Arrival,B4.3,Video and social media,B4.3-1-1,Pulse Check,high,Do your videos have captions or subtitles?,"Captions or subtitles display spoken words and important sounds from a video as text on the screen. Captions are especially important for videos that share information, instructions, or stories.

Captions should be accurate, easy to read, and available for all spoken content, not just key moments.","Yes - all videos | Some videos | No | We don't use video | Not sure",
Before Arrival,B4.3,Video and social media,B4.3-1-2,Pulse Check,medium,Do you include alt text and image descriptions when posting on social media?,"Alt text and image descriptions both help people understand images, but they are used in slightly different ways.

Alt text is a short description added directly to an image. It is read automatically by screen readers and should briefly explain the purpose of the image in context.

Image descriptions are longer explanations provided in nearby text or linked content. They are useful for complex images such as charts, diagrams, maps, or detailed visuals that need more explanation than a short alt text allows.","Yes - always | Sometimes | No | We don't use social media | Not sure",
Before Arrival,B4.3,Video and social media,B4.3-1-3,Pulse Check,medium,"Are video controls accessible (play, pause, volume)?","Accessible video controls allow users to easily play, pause, stop, and adjust the volume of a video.

If a video plays automatically, users should be able to quickly pause or stop it. Controls should be easy to find, clearly labelled, and usable with a keyboard, mouse, or touch.","Yes | Partially | No | We don't use video | Not sure",
Before Arrival,B4.3,Video and social media,B4.3-MA-1,Deep Dive,medium,Upload a screenshot of a social media post for accessibility analysis,"Our AI will analyze your social media posts for accessibility features like alt text presence, caption readability, contrast, and inclusive language.",File upload,
Before Arrival,B4.3,Video and social media,B4.3-MA-2,Deep Dive,medium,Enter a social media profile URL for accessibility review,"We can review your social media presence for accessibility practices including alt text usage, caption quality, and content accessibility.",Free text (URL),
Getting In,A1,"Arrival, parking and drop-off",A1-F-1,Pulse Check,high,Do you have designated accessible parking spaces?,Designated accessible parking spaces are parking bays set aside for people with disability and mobility needs. These spaces are typically wider than standard bays and clearly identified with signage and ground markings so they are easy to recognise.,"Yes | No | Not applicable (no parking)",
Getting In,A1,"Arrival, parking and drop-off",A1-F-2,Pulse Check,high,Are accessible parking spaces located close to the main entrance?,Accessible parking should be positioned as close as reasonably possible to the main entrance to reduce the distance people need to travel.,"Yes | Partially | No | Not sure",A1-F-1 = Yes
Getting In,A1,"Arrival, parking and drop-off",A1-F-3,Pulse Check,medium,Is there a drop-off zone near the entrance for customers who need it?,"A drop-off zone allows customers to be safely set down close to the entrance without needing to park. This area should be step free and connected to the entrance by a clear, accessible path.","Yes | No | Not sure",
Getting In,A1,"Arrival, parking and drop-off",A1-F-4,Pulse Check,high,Is the path from accessible parking to the entrance smooth and level?,"The path from parking to the entrance should be easy to move along without steps, sudden level changes, loose surfaces, or obstacles.","Yes | Mostly | No | Not sure",A1-F-1 = Yes
Getting In,A1,"Arrival, parking and drop-off",A1-F-5,Pulse Check,medium,"Is the path wide enough for people using mobility aids, walking with companions or using service animals (at least 1 metre)?","Paths should be wide enough for wheelchair users, people with walking aids, service animals, or those walking side by side. A minimum clear width of around 1 metre helps people move comfortably without needing to step aside or navigate obstacles.","Yes | Mostly | No | Not sure",
Getting In,A1,"Arrival, parking and drop-off",A1-F-6,Pulse Check,medium,Would a first-time visitor know where to find accessible parking?,"Accessible parking should be easy to locate without prior knowledge of the site. Clear signage, logical placement, and visible pathways help first-time visitors feel confident and reduce the need to ask for assistance.","Yes | Probably | No | Not sure",A1-F-1 = Yes
Getting In,A1,"Arrival, parking and drop-off",A1-F-7,Pulse Check,medium,Do staff know how to direct customers to accessible parking and entry points?,"Staff should be able to confidently explain where accessible parking, drop-off zones, and step-free entrances are located. This reduces stress for customers and avoids the need for them to navigate the site on their own.","Yes | Some staff | No | Not sure",
Getting In,A1,"Arrival, parking and drop-off",A1-F-8,Pulse Check,medium,Is the parking area well-lit for customers arriving in low light?,"Good lighting helps customers feel safe and confident when arriving early in the morning, evening, or at night. Well-lit parking areas help everyone navigate paths, signage, and entrances more easily.","Yes | Partially | No | Not sure",
Getting In,A1,"Arrival, parking and drop-off",A1-D-9,Deep Dive,medium,"During busy periods, are accessible parking spaces still available and not blocked?","This looks at what happens when your site is at its busiest. Accessible parking spaces should remain usable and not be blocked by other vehicles, deliveries, temporary signage, or bins, even during peak periods or events.","Yes - always protected | Usually | Sometimes blocked | Not sure",A1-F-1 = Yes
Getting In,A1,"Arrival, parking and drop-off",A1-D-10,Deep Dive,low,Is the path from parking protected from weather (covered or sheltered)?,"A protected or sheltered path helps people move from parking to the entrance more comfortably in rain, heat, or strong sun.","Yes - fully covered | Partially covered | No | Not applicable",
Getting In,A1,"Arrival, parking and drop-off",A1-D-11,Deep Dive,low,Are there rest points or seating along longer paths from parking?,Rest points or seating give people a chance to pause and recover if they need to walk longer distances from parking to the entrance.,"Yes | No | Not applicable (short distance)",
Getting In,A1,"Arrival, parking and drop-off",A1-D-12,Deep Dive,medium,Is the surface of accessible parking spaces firm and slip-resistant?,"Accessible parking surfaces should be stable and easy to move across. Loose gravel, uneven paving, or slippery surfaces can make it difficult or unsafe for people using the space.","Yes | Partially | No | Not sure",A1-F-1 = Yes
Getting In,A1,"Arrival, parking and drop-off",A1-D-13,Deep Dive,medium,Are accessible parking spaces clearly marked with both ground markings and vertical signage?,Take a photo of the accessible parking signage.,"Yes - both | Ground markings only | Vertical signage only | Neither | Not sure",A1-F-1 = Yes
Getting In,A1,"Arrival, parking and drop-off",A1-D-14,Deep Dive,low,Do you have a policy for managing misuse of accessible parking spaces?,This refers to whether your organisation has a clear approach for discouraging or responding to non-eligible use of accessible parking. A simple policy helps protect access for customers who rely on these spaces and supports staff to respond consistently and respectfully.,"Yes | Informal approach | No | Not sure",A1-F-1 = Yes
Getting In,A1,"Arrival, parking and drop-off",A1-D-15,Deep Dive,medium,Is information about accessible parking included on your website?,"Providing accessible parking information online helps customers plan their visit in advance. This might include the location of the nearest accessible spaces (even if you don't have one on-site), drop-off areas, or any relevant access considerations.","Yes | Partially | No | Not sure",
Getting In,A1,"Arrival, parking and drop-off",A1-D-16,Deep Dive,medium,"In low light conditions, is the path clearly visible and safely navigable?","Paths should remain easy to see and follow in early mornings, evenings, or poor weather. Clear lighting, visible edges, and unobstructed paths help reduce trip risks.","Yes | Partially | No | Not sure",
Getting In,A2,Entry and doors,A2-F-1,Pulse Check,high,Is your main entrance step-free?,"A step-free entrance allows customers to enter the building without needing to step up or down.

This means there are no stairs, raised thresholds, changes in height between surfaces or sudden level changes at the main entrance.

If a ramp is used, it should be clearly connected to the main entrance and easy to identify.","Yes | No",
