Group,Module Code,Module Name,Question ID,Review Mode,Impact Level,Question Text,Helper Text,Response Options,Condition
Getting In,A2,Entry and doors,A2-F-2,Pulse Check,high,Is the main entrance door at least 850mm wide?,A clear opening of at least 850mm is a common benchmark for allowing safe and independent access. Measure the doorway at its narrowest point when the door is fully open.,"Yes | No | Not sure",
Getting In,A2,Entry and doors,A2-F-3,Pulse Check,high,"Are entrance doors easy to open (automatic, light push, or lever handles)?","Entrance doors should be easy to use without requiring significant strength or complex movements. Automatic doors, doors with a light push force, or doors with lever or D handles are easier for people to use independently.","Yes - automatic | Yes - easy to open manually | No - heavy or difficult | Not sure",
Getting In,A2,Entry and doors,A2-F-4,Pulse Check,medium,Is the main entrance clearly visible and identifiable from the street or parking area?,"Visitors should be able to easily see and recognise the main entrance as they approach the building. Clear sightlines, lighting, signage, and visual cues help reduce confusion and improve confidence, especially for first-time visitors.","Yes | Partially | No | Not sure",
Getting In,A2,Entry and doors,A2-F-5,Pulse Check,high,"If there is an alternative accessible entrance, is it clearly signed?","If the main entrance is not accessible, any alternative accessible entrance should be clearly signposted from the main approach. Signage should guide customers without requiring them to ask for assistance or search the site.","Yes | Partially | No | Not applicable (main entrance is accessible)",A2-F-1 = No
Getting In,A2,Entry and doors,A2-F-6,Pulse Check,medium,Do staff know how to assist customers who need support entering the building?,"Staff should be aware of how to support customers who may need assistance at the entrance, such as opening doors, explaining where to enter, or guiding people to an accessible entry point. Support should be offered respectfully and only when needed.","Yes | Some staff | No | Not sure",
Getting In,A2,Entry and doors,A2-F-7,Pulse Check,medium,Is there adequate lighting at the entrance for customers with low vision?,"Good lighting at the entrance helps people identify doors, handles, signage, and level changes. This is especially important in low light conditions, at night, or during poor weather.","Yes | Partially | No | Not sure",
Getting In,A2,Entry and doors,A2-F-8,Pulse Check,medium,Are there tactile ground surface indicators at key entry points?,"Tactile ground surface indicators are textured ground surfaces, often made up of raised dots or bars, installed on the ground at key locations. They can be felt underfoot or with a cane.

They help people who are blind or have low vision identify important points such as entrances, hazards, or changes in direction, and provide clear wayfinding and safety information at entry points.","Yes | Partially | No | Not sure",
Getting In,A2,Entry and doors,A2-D-9,Deep Dive,medium,"If there is a ramp, does it have compliant handrails on both sides?",Handrails on both sides of a ramp help users feel safer when moving up or down the ramp and allow people to choose the side that suits them best.,"Yes | One side only | No | Not applicable (no ramp)",
Getting In,A2,Entry and doors,A2-D-10,Deep Dive,high,What is the clear opening width of the main entrance door?,"This refers to the usable width of the doorway when the door is fully open, measured at the narrowest point. The clear opening determines whether wheelchair users and people with mobility aids can enter independently.",Free text (measurement),
Getting In,A2,Entry and doors,A2-D-11,Deep Dive,medium,Is the door handle at an accessible height (900-1100mm from floor)?,"Door handles positioned within this height range are easier to reach for wheelchair users, people of short stature, and those with limited arm movement. Handles outside this range can be difficult or impossible for some people to use.","Yes | No | Not sure | Not applicable (automatic doors)",
Getting In,A2,Entry and doors,A2-D-12,Deep Dive,medium,Is there a level landing area at the entrance (at least 1500mm x 1500mm)?,"A level landing provides space for people to stop, turn, or steady themselves before opening the door. This is especially important for wheelchair users, people using walking aids, or anyone who needs extra time to manage doors.","Yes | Partially | No | Not sure",
Getting In,A2,Entry and doors,A2-D-13,Deep Dive,medium,Is the door threshold level? (The maximum height is 13mm),Low thresholds reduce the effort needed to move into the building and lower the risk of wheels catching or people tripping. High or uneven thresholds can be a barrier for wheelchair users and people with mobility or balance challenges.,"Yes (13mm or less) | No (higher than 13mm) | Not sure",
Getting In,A2,Entry and doors,A2-D-14,Deep Dive,medium,Are glass doors marked with contrasting strips or patterns?,"Clear glass doors can be difficult to see. Contrasting strips or patterns help people identify the door and avoid walking into it, supporting people with low vision as well as all visitors.","Yes | No | Not applicable (no glass doors)",
Getting In,A2,Entry and doors,A2-D-15,Deep Dive,medium,"During busy periods, does the entrance become congested or blocked?","This considers how the entrance functions at peak times. Congestion from queues, furniture, displays, service counters or security checks can make it difficult for people to enter safely.","No - stays clear | Sometimes | Yes - often congested | Not sure",
Getting In,A2,Entry and doors,A2-D-16,Deep Dive,low,"If there is an intercom or bell, is it located at an accessible height between 900 and 1100mm from the floor?","An accessible intercom or bell allows customers to request entry or assistance independently, without needing to reach too high or stretch. It should be easy to see, reach, and use from a seated or standing position.","Yes | No | Not applicable",
Getting In,A2,Entry and doors,A2-D-17,Deep Dive,medium,"If automatic doors are used, do they stay open long enough for slow-moving visitors?",Automatic doors should allow enough time for people who move more slowly to pass through safely. Doors that close too quickly can cause stress or increase the risk of injury.,"Yes | No | Not applicable | Not sure",A2-F-3 = Yes - automatic
Getting In,A2,Entry and doors,A2-D-18,Deep Dive,medium,Is there a mat or surface change at the entrance that could cause a trip hazard?,"Mats or surface changes should lie flat and be securely fixed. Loose edges, thick mats, or sudden changes in surface level can create trip hazards for people with low vision, balance issues, or mobility aids.","No hazard present | Potential hazard | Not sure",
Getting In,A2,Entry and doors,A2-MA-1,Deep Dive,high,Upload a photo of your entrance for accessibility analysis,"Our AI will analyze your entrance against AS 1428.1 and Access to Premises Standards for door width, threshold, visibility, and step-free access.",File upload,
Getting In,A2,Entry and doors,A2-MA-2,Deep Dive,medium,Upload a photo of your entrance door for analysis,"We can analyze door width, handle type, threshold height, and visual contrast against accessibility standards.",File upload,
Getting In,A2,Entry and doors,A2-MA-3,Deep Dive,high,Upload a photo of any ramp at your entrance,"We can analyze ramp gradient, width, handrails, and landing areas against AS 1428.1 requirements.",File upload,
Getting In,A3a,Paths and aisles,A3a-1-1,Pulse Check,high,Are main circulation paths at least 1 metre wide?,"Main circulation paths are the primary walkways people use to move through your space. A clear width of at least 1 metre helps wheelchair users, people using mobility aids, those walking with companions, or using service animals to move comfortably.","Yes | Mostly | No | Not sure",
Getting In,A3a,Paths and aisles,A3a-1-2,Pulse Check,high,Are paths kept clear of obstacles and trip hazards?,"Circulation paths should be free from obstacles such as furniture, displays, cords, mats, bins, or clutter. Clear paths reduce trip risks and make it easier for people to move safely and confidently through the space.","Yes | Mostly | No | Not sure",
Getting In,A3a,Paths and aisles,A3a-1-3,Pulse Check,high,"If there are level changes, is there an accessible alternative (lift, ramp)?","Where there are steps or changes in level, there should be an accessible alternative such as a ramp or lift so all customers can reach the same areas.","Yes | Partially | No | Not applicable (single level)",
Getting In,A3a,Paths and aisles,A3a-1-4,Pulse Check,high,Would a customer using a mobility aid be able to navigate your space independently?,"This considers the overall experience of moving through your space without assistance. Clear paths, adequate width, smooth surfaces, and accessible alternatives help customers navigate confidently and independently.","Yes | Mostly | With difficulty | No | Not sure",
Getting In,A3a,Paths and aisles,A3a-MA-1,Deep Dive,medium,Upload a photo of your pathways for accessibility analysis,"Our AI will analyze your pathways for width, surface condition, obstacles, and trip hazards based on AS 1428.1 standards.",File upload,
Getting In,A3a,Paths and aisles,A3a-MA-2,Deep Dive,medium,Upload a photo of your ground surfaces for analysis,"We can analyze floor surfaces for slip resistance, level changes, and accessibility compliance.",File upload,
Getting In,A3b,Queues and busy times,A3b-1-1,Pulse Check,high,Is there seating available in queue areas for people who cannot stand for long?,"Seating in queue areas allows people with fatigue, chronic pain, mobility conditions, or health needs to rest while waiting. Even a small number of seats can make waiting more manageable and inclusive.","Yes | Limited | No | Not applicable (no queues)",
Getting In,A3b,Queues and busy times,A3b-1-2,Pulse Check,high,Can customers request priority access when needed?,"Priority access gives customers a way to avoid long waits when standing is difficult. This might include staff-managed entry, priority ordering, alternative waiting arrangements, or clear processes for requesting assistance.","Yes | Sometimes | No | Not sure",
Getting In,A3b,Queues and busy times,A3b-1-3,Pulse Check,medium,Do staff know how to accommodate customers who need queue assistance?,Staff should understand how to respond respectfully and confidently when a customer needs support with queuing. This includes offering alternatives without requiring customers to explain or justify their needs.,"Yes | Some staff | No | Not sure",
During Visit,A4,"Seating, furniture and layout",A4-1-1,Pulse Check,high,"Is there a variety of seating options (with arms, without arms, different heights)?","Different seating types support different bodies and needs. Seats with arms can help people stand up, while varied heights and armless options support comfort and choice.","Yes | Limited variety | No | Not applicable",
During Visit,A4,"Seating, furniture and layout",A4-1-2,Pulse Check,high,Is there space for wheelchair users alongside seated companions?,"Seating areas should include space where wheelchair users can sit next to friends, family, or companions rather than being separated from the group.","Yes | Sometimes | No | Not sure",
During Visit,A4,"Seating, furniture and layout",A4-1-3,Pulse Check,high,Are tables and counters at accessible heights for wheelchair users?,"Accessible tables and counters allow wheelchair users to approach, sit, and use the surface comfortably. As a guide, an accessible table or counter is usually between 750 and 850mm high, with clear knee space underneath of at least 700mm high and 800mm wide. At least one accessible option should be available where customers interact, dine, or make transactions.","Yes | Some | No | Not sure",
During Visit,A4,"Seating, furniture and layout",A4-1-4,Pulse Check,medium,Can furniture be rearranged to accommodate different needs?,"Flexible furniture allows spaces to adapt to different access needs. The ability to move chairs or tables can help create space for wheelchairs, prams, or service animals when required.","Yes | Some furniture | No | Not sure",
During Visit,A5,Toilets and amenities,A5-1-1,Pulse Check,high,Do you have at least one accessible toilet?,"An accessible toilet provides essential facilities for people with disability, mobility needs, or who require assistance. Having at least one accessible toilet supports longer and more comfortable visits.","Yes | No",
During Visit,A5,Toilets and amenities,A5-1-2,Pulse Check,high,Do you know where the nearest accessible toilet is?,"Staff should be able to confidently direct customers to the nearest accessible toilet, including providing clear directions or signage information. This helps customers avoid unnecessary searching or discomfort, especially in larger or shared spaces.","Yes | Not sure",
During Visit,A5,Toilets and amenities,A5-1-3,Pulse Check,medium,Is the accessible toilet clearly signed and easy to find?,Clear signage helps customers locate the accessible toilet without needing to ask for assistance. Signage should be visible from key areas within the space.,"Yes | Partially | No | Not sure",A5-1-1 = Yes
During Visit,A5,Toilets and amenities,A5-1-4,Pulse Check,high,Is the accessible toilet kept clear of storage and obstacles?,Accessible toilets should not be used for storage. Clear floor space and unobstructed fittings are necessary for safe and independent use.,"Yes | Sometimes used for storage | No | Not sure",A5-1-1 = Yes
During Visit,A5,Toilets and amenities,A5-1-5,Pulse Check,high,Is there an emergency alarm in the accessible toilet?,"An emergency alarm allows users to call for assistance if needed. It should be clearly visible, reachable from the toilet and floor, and known to staff.","Yes | No | Not sure",A5-1-1 = Yes
During Visit,A6,"Lighting, sound and sensory environment",A6-1-1,Pulse Check,high,Is lighting adequate for reading and navigation?,"Adequate lighting helps people read signs, see hazards, and move around safely. Poor lighting can make navigation difficult for people with low vision and increase trip risks for everyone.

As a general guide, indoor circulation areas are often around 100–200 lux, while areas used for reading, forms, or detailed tasks are closer to 300–500 lux. Lighting levels can be roughly checked using a free light (lux) meter app on a smartphone. Lighting should be even, without strong glare or deep shadows.","Yes | Mostly | No | Not sure",
During Visit,A6,"Lighting, sound and sensory environment",A6-1-2,Pulse Check,medium,Are there quiet or reset spaces available for people who need a break from noise?,"Quiet or reset spaces provide a calm area where people can step away from noise, crowds, or sensory input. These spaces support people with sensory sensitivities, anxiety, neurodivergence, fatigue, or health conditions.

A quiet space does not need to be large or formal, but it should be clearly identified, reasonably quiet, and free from interruptions where possible.","Yes | Informal options | No | Not sure",
During Visit,A6,"Lighting, sound and sensory environment",A6-1-3,Pulse Check,medium,Is background noise at a level that allows conversation?,"Background noise should allow people to speak and be heard without raising their voice. Consider whether music, machinery, crowds, or echoes make it hard to communicate, especially at service counters or seating areas.","Yes | Sometimes | No | Not sure",
During Visit,A6,"Lighting, sound and sensory environment",A6-1-4,Pulse Check,medium,Are there any flashing lights or sudden loud noises that could affect some visitors?,"Flashing lights, strobe effects, alarms, or sudden loud noises can be distressing or disorienting for some people, including those with sensory sensitivities, migraines, epilepsy, or anxiety.

Where these elements are used, consider whether warnings are provided and whether quieter or calmer alternatives are available.","No | Yes - with warnings | Yes - without warnings | Not sure",
During Visit,A6,"Lighting, sound and sensory environment",A6-1-5,Pulse Check,low,Is the indoor temperature comfortable and able to be adjusted or managed for different needs?,"Comfortable and stable indoor temperatures help people stay focused, safe, and well. Extreme heat or cold can affect people with health conditions, fatigue, sensory sensitivities, or those taking certain medications.

Where possible, there should be ways to manage temperature, such as air conditioning, heating, fans, or shaded areas. Staff awareness of temperature issues and the ability to respond to concerns can also support comfort.","Yes | Partially | No | Not sure",
During Visit,A6,"Lighting, sound and sensory environment",A6-1-6,Pulse Check,medium,Are sensory kits or supports available for customers and visitors?,"Sensory kits typically include items like noise-cancelling headphones or ear plugs, fidget tools, sunglasses, communication cards, or weighted lap pads. These supports help people with sensory sensitivities, autism, anxiety, or other conditions manage their environment and feel more comfortable during their visit.

Kits do not need to be elaborate—even a small selection of items available on request can make a significant difference.","Yes | Limited selection | No | Considering it",
During Visit,A6,"Lighting, sound and sensory environment",A6-1-7,Pulse Check,medium,Do you offer relaxed or sensory-friendly sessions?,"Relaxed or sensory-friendly sessions are modified experiences with reduced sensory input. This might include lower lighting, reduced sound levels, fewer crowds, quieter music or no music, and a more flexible atmosphere.

These sessions support people with autism, sensory processing differences, anxiety, dementia, or anyone who benefits from a calmer environment. They are commonly offered by cinemas, museums, theatres, and retail venues.","Yes - regularly | Yes - occasionally | No | Considering it | Not applicable",
During Visit,A6,"Lighting, sound and sensory environment",A6-1-8,Pulse Check,high,Do you offer assisted listening devices or hearing augmentation?,"Assisted listening devices help people who are deaf or hard of hearing to hear more clearly. These include:

• Hearing loops (induction loops) – transmit sound directly to hearing aids with T-coil
• FM systems – use radio signals to transmit sound to a receiver
• Infrared systems – use light to transmit sound
• Personal amplifiers – portable devices that amplify sound

Note: Under the Access to Premises Standard, venues with inbuilt amplification systems (such as PA systems or performance venues) are required to provide hearing augmentation.","Yes | No | Not applicable | Not sure",
During Visit,A6,"Lighting, sound and sensory environment",A6-MA-1,Deep Dive,medium,Upload a photo of your venue lighting for analysis,"Our AI will analyze your venue lighting for adequacy, contrast, glare, and even distribution based on accessibility standards.",File upload,
During Visit,A6a,Equipment and resources,A6a-F-1,Pulse Check,high,Do you offer equipment or resources that customers can use during their visit?,"This might include wheelchairs for loan, sensory kits, communication cards, magnifiers, portable seating, or hearing loop receivers.

Even a small selection of equipment can make a significant difference to some visitors.","Yes - multiple items available | Yes - limited selection | No - but considering it | No | Not sure",
During Visit,A6a,Equipment and resources,A6a-F-2,Pulse Check,high,Do customers know what equipment is available before they visit?,"Customers need to know what's available in order to plan. If equipment exists but isn't communicated, it may not be used.

This information might appear on your website, in booking confirmations, or in pre-visit information.","Yes - clearly communicated on website and in pre-visit information | Mentioned if customers ask | Not currently communicated | Not sure",A6a-F-1 = Yes - multiple items available OR Yes - limited selection
During Visit,A6a,Equipment and resources,A6a-F-3,Pulse Check,medium,Is it easy for customers to access or request equipment when they arrive?,"Equipment should be easy to find or request without customers needing to search or ask multiple staff members.

Consider whether equipment is visible, clearly signed, or whether staff proactively offer it.","Visible and available for self-service | Easy to request from staff | Staff proactively offer when relevant | Can be difficult to access | Not sure",A6a-F-1 = Yes - multiple items available OR Yes - limited selection
During Visit,A6a,Equipment and resources,A6a-D-1,Deep Dive,medium,What equipment or resources are available for customers?,"Select all that apply. Understanding what you offer helps identify gaps and opportunities to better support customers.","Wheelchairs or mobility aids for loan | Mobility scooters | Walking aids (frames, sticks) | Sensory kits (ear plugs, fidget tools, sunglasses) | Sensory maps or guides | Communication cards or boards | Magnifiers or large print materials | Portable seating or stools | Hearing loop receivers | Other assistive listening devices | Quiet space or chill-out zone | Weighted blankets or lap pads | Other",A6a-F-1 = Yes - multiple items available OR Yes - limited selection
During Visit,A6a,Equipment and resources,A6a-D-2,Deep Dive,medium,Is there a designated quiet space or chill-out zone available?,"A quiet space provides a low-stimulation environment where customers can take a break from noise, crowds, or sensory input.

This is especially valuable for autistic visitors, people with anxiety, sensory sensitivities, or those who become overwhelmed.","Yes - dedicated quiet room or space | Yes - informal quiet area available | Available on request | Considering offering this | No",
During Visit,A6a,Equipment and resources,A6a-D-3,Deep Dive,high,Do you offer wheelchairs or mobility aids for customer use?,"Wheelchairs or mobility aids for loan can help customers who have limited mobility but don't use their own wheelchair, find walking long distances difficult, experience fatigue during longer visits, or have temporary mobility issues.

Even one or two wheelchairs can significantly improve accessibility for some visitors.","Yes - available for loan | Yes - can be booked in advance | Limited availability | Considering offering this | Not applicable to our venue | No",
During Visit,A6a,Equipment and resources,A6a-D-4,Deep Dive,medium,Do you provide sensory support items?,"Sensory support items help people manage sensory input during their visit. These might include noise-cancelling headphones or ear plugs, fidget tools or stress balls, sunglasses for bright environments, weighted lap pads, or sensory maps showing quiet and busy areas.

Items can be provided in kits or individually. Even a small selection can make a significant difference.","Yes - sensory kits available | Yes - individual items available | Limited items available | Considering offering this | No",
During Visit,A6a,Equipment and resources,A6a-D-5,Deep Dive,medium,Do you have communication aids available?,"Communication aids support customers who communicate in different ways. These might include picture communication boards, symbol cards, writing materials (pen and paper), text-to-speech apps on tablets, or basic sign language guides.

Simple tools can support clearer communication when speech or hearing barriers exist.","Yes - multiple options available | Yes - basic options (pen and paper) | Considering offering this | No",
During Visit,A6a,Equipment and resources,A6a-D-6,Deep Dive,medium,Is equipment well-maintained and regularly checked?,"Equipment should be in good working condition, clean, and safe to use.

Regular checks help ensure equipment is ready when customers need it. Faulty or poorly maintained equipment can create safety issues or a poor experience.","Yes - regularly maintained and checked | Yes - checked when issues arise | Not sure | No formal maintenance process",A6a-F-1 = Yes - multiple items available OR Yes - limited selection
During Visit,A6a,Equipment and resources,A6a-D-7,Deep Dive,medium,Do staff know what equipment is available and how to provide it?,"Staff should be able to quickly identify what equipment is available, know where equipment is stored, understand how to offer it respectfully, and provide basic guidance on use if needed.

Confident staff help customers access equipment without unnecessary delay or awkwardness.","Yes - all staff know | Some staff know | Not sure | No - staff awareness is limited",A6a-F-1 = Yes - multiple items available OR Yes - limited selection
During Visit,A6a,Equipment and resources,A6a-D-8,Deep Dive,low,What would help you offer more equipment or resources?,Understanding barriers helps identify practical solutions and priorities for improvement.,"Budget or funding | Knowing what to offer | Storage space | Maintenance and upkeep | Staff training | Understanding customer demand | We're happy with current provision | Other",A6a-F-1 = No - but considering it OR No OR Yes - limited selection
During Visit,B2,Signage and wayfinding,B2-1-1,Pulse Check,high,"Is signage clear, with good contrast and readable font sizes?","Clear signage uses high contrast between text and background, simple fonts, title case, and text sizes that can be read at a distance. Signs should avoid overly decorative fonts, low contrast colours, or cluttered layouts.","Yes | Mostly | No | Not sure",
During Visit,B2,Signage and wayfinding,B2-1-2,Pulse Check,medium,Are signs placed at consistent heights and locations?,"Consistent placement helps people know where to look for information. As a general guide, wall-mounted signs are often placed so the main information is between around 1200 and 1600mm from the floor, making them visible to people who are standing or seated.

Signs should be positioned where people naturally pause or make decisions, such as entrances, intersections, and key facilities.","Yes | Mostly | No | Not sure",
During Visit,B2,Signage and wayfinding,B2-1-3,Pulse Check,high,"Are accessible facilities (toilets, lifts) clearly signed?",Accessible facilities should be clearly identified using recognisable symbols and plain language. Clear signage helps people find essential facilities without needing to ask for assistance or search the space.,"Yes | Partially | No | Not sure",
During Visit,B2,Signage and wayfinding,B2-1-4,Pulse Check,high,Would a first-time visitor be able to navigate independently?,"This question considers the overall experience of navigating your space for someone who has never visited before. Clear signage, logical layout, good lighting, manageable noise levels, and visible landmarks all support independent navigation.

If someone unfamiliar with the space can find their way without assistance, the environment is likely working well.","Yes | Mostly | With difficulty | No | Not sure",
During Visit,B2,Signage and wayfinding,B2-MA-1,Deep Dive,medium,Upload a photo of your signage for accessibility analysis,"Our AI will analyze your signage against AS 1428.1 and AS 1428.2 standards for contrast, text size, font style, placement, and readability.",File upload,
During Visit,B3,Menus and printed materials,B3-1-1,Pulse Check,medium,Are large print versions of key materials available?,"Large print materials support people with low vision or who find standard text difficult to read. As a general guide, large print uses a minimum of 16–18 point font, clear sans serif typefaces, strong contrast, and simple layouts. Key materials might include menus, programs, safety instructions, guides, or forms.","Yes | Some materials | No | Not sure",
During Visit,B3,Menus and printed materials,B3-1-2,Pulse Check,medium,Can staff read menus or materials aloud for customers who need it?,Some customers may prefer or require information to be read aloud. Staff should feel comfortable offering this support respectfully and without drawing attention to the customer.,"Yes | Sometimes | No | Not sure",
During Visit,B3,Menus and printed materials,B3-1-3,Pulse Check,medium,"Are digital alternatives available (QR codes, online menus)?","Digital alternatives allow customers to access information on their own devices using screen readers, zoom, or other accessibility settings. QR codes or online versions should link to accessible content that is easy to navigate and read.","Yes | Partially | No | Not sure",
During Visit,B3,Menus and printed materials,B3-1-4,Pulse Check,medium,Do you offer key information in alternative formats such as Easy Read or Plain English?,"Alternative formats help people with different reading abilities, cognitive disabilities, or those who speak English as a second language.

**Easy Read** uses simple words, short sentences, and images to explain information. It is designed for people with intellectual disability or learning difficulties.

**Plain English** uses clear, straightforward language that avoids jargon, technical terms, and complex sentences. It makes information accessible to a wider audience.

Key information might include safety instructions, service descriptions, or booking information.","Yes | Some materials | No | Not sure",
During Visit,B3,Menus and printed materials,B3-MA-1,Deep Dive,medium,Upload a menu or printed material for accessibility analysis,"Our AI will analyze your menu, brochure, or printed material against accessibility standards including font size, contrast, layout clarity, and readability.",File upload,
During Visit,B3,Menus and printed materials,B3-MA-2,Deep Dive,low,Upload a brochure or flyer for accessibility analysis,"We can analyze your promotional materials for accessibility features like contrast, text size, and clear layout.",File upload,
During Visit,B3,Menus and printed materials,B3-MA-3,Deep Dive,medium,Upload your large print materials for verification,"We can verify that your large print materials meet recommended standards (minimum 16-18pt font, good contrast, clear layout).",File upload,B3-1-1 = Yes OR Some materials
Service & Support,A7,Safety and emergencies,A7-1-1,Pulse Check,high,Do your emergency procedures include plans for people with disabilities?,"Emergency procedures should consider people with mobility, sensory, or cognitive needs so everyone can be supported safely.","Yes | Partially | No | Not sure",
Service & Support,A7,Safety and emergencies,A7-1-2,Pulse Check,high,Are emergency exits accessible to people with mobility aids?,Accessible exits allow people with access needs to evacuate safely without encountering steps or barriers.,"Yes | Some exits | No | Not sure",
Service & Support,A7,Safety and emergencies,A7-1-3,Pulse Check,high,Are there visual and audible alarms for emergencies?,Using both visual and audible alarms helps ensure emergency alerts are accessible to people with hearing or vision access needs.,"Yes - both | Audible only | Visual only | Not sure",
